Bin number,Z_start (m),R_start (m),Z_end (m),R_end (m),Material,Thickness (m),Cu thickness (m),mode,S. Area parent bin (m^2),Surface area (m^2),f (ion flux scaling factor),location,rtol,atol,FP max. stepsize (s),Max. stepsize no FP (s),BC Plasma Facing Surface,BC rear surface
12,3.16,7.4,2.44,7.9,B,1E-07,0,low_wetted,42,5.2,0.995,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
12,3.16,7.4,2.44,7.9,B,1E-06,0,shadowed,42,36.8,0,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
13,2.44,7.9,1.66,8.26,W,0.012,0.004,high_wetted,43.6,0.14,0.741,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
13,2.44,7.9,1.66,8.26,B,1E-07,0,low_wetted,43.6,0.127,0.259,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
13,2.44,7.9,1.66,8.26,B,1E-06,0,shadowed,43.6,43.3,0,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
14,1.66,8.26,0.613,8.38,W,0.006,0.002,wetted,27.6,4.44,1,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
14,1.66,8.26,0.613,8.38,B,1E-06,0,shadowed,27.6,23.2,0,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
15,0.613,8.38,-0.441,8.29,W,0.006,0.002,wetted,27.7,4.55,1,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
15,0.613,8.38,-0.441,8.29,B,1E-06,0,shadowed,27.7,23.2,0,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
16,-0.441,8.29,-1.36,7.89,W,0.006,0.005,high_wetted,50.7,0.0899,0.0514,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
16,-0.441,8.29,-1.36,7.89,B,1E-07,0,low_wetted,50.7,5.42,0.949,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
16,-0.441,8.29,-1.36,7.89,B,1E-06,0,shadowed,50.7,45.2,0,FW,1E-09,100000000000,5,100,Robin - Surf. Rec. + Implantation,Dirichlet - 0 concentration
